State,Year,Population,Drivers,Vehicles
Alabama,2009,,3782284,4610850
Alaska,2009,,507759,695282
Arizona,2009,,4403390,4357630
Arkansas,2009,,2065065,2037400
California,2009,,23680643,34433210
Colorado,2009,,3704561,1429470
Connecticut,2009,,2916143,3071580
Delaware,2009,,699745,843357
District of Columbia,2009,,376086,217648
Florida,2009,,14005066,15314760
Georgia,2009,,6315035,8507290
Hawaii,2009,,889918,895336
Idaho,2009,,1055269,1374970
Illinois,2009,,8301118,9890870
Indiana,2009,,5550469,5847590
Iowa,2009,,2145333,3363110
Kansas,2009,,2045426,2425260
Kentucky,2009,,2939423,3584500
Louisiana,2009,,3086004,4033410
Maine,2009,,1013533,1055920
Maryland,2009,,3904685,4483600
Massachusetts,2009,,4629636,5261800
Michigan,2009,,7082820,7913120
Minnesota,2009,,3245441,4796100
Mississippi,2009,,1930603,2025690
Missouri,2009,,4217910,4904200
Montana,2009,,737964,924950
Nebraska,2009,,1349295,1793020
Nevada,2009,,1690431,1397340
New Hampshire,2009,,1034329,1212490
New Jersey,2009,,5923538,6113810
New Mexico,2009,,1377983,1620700
New York,2009,,11329488,11245210
North Carolina,2009,,6504269,6047240
North Dakota,2009,,476561,722071
Ohio,2009,,7937498,11022130
Oklahoma,2009,,2320985,3396400
Oregon,2009,,2841972,3046370
Pennsylvania,2009,,8687206,9857310
Rhode Island,2009,,746032,788623
South Carolina,2009,,3268498,3614400
South Dakota,2009,,602165,926168
Tennessee,2009,,4476539,5139660
Texas,2009,,15374063,18208170
Utah,2009,,1720015,2453880
Vermont,2009,,506977,557370
Virginia,2009,,5347745,6301840
Washington,2009,,5026521,5580670
West Virginia,2009,,1328992,1412480
Wisconsin,2009,,4105142,4874320
Wyoming,2009,,410813,652324
Alabama,2010,4785514,3805751,4653840
Alaska,2010,713982,515239,710444
Arizona,2010,6407342,4443647,4320010
Arkansas,2010,2921998,2077806,2073410
California,2010,37319550,23753441,31014130
Colorado,2010,5047539,3779273,4180300
Connecticut,2010,3579173,2934576,3082010
Delaware,2010,899647,695036,799012
District of Columbia,2010,605282,384940,211653
Florida,2010,18846143,13949726,14372810
Georgia,2010,9712209,6507888,7701940
Hawaii,2010,1364004,909407,904467
Idaho,2010,1570819,1069542,1324990
Illinois,2010,12840545,8373969,10078620
Indiana,2010,6490555,5550469,5698010
Iowa,2010,3050819,2166759,3312710
Kansas,2010,2858266,2033092,2436250
Kentucky,2010,4348464,2950191,3589120
Louisiana,2010,4544635,3133631,4086130
Maine,2010,1327651,1019738,1053840
Maryland,2010,5788784,3918305,4557010
Massachusetts,2010,6566440,4592500,5333920
Michigan,2010,9877597,7083107,9286070
Minnesota,2010,5310934,3281463,4847970
Mississippi,2010,2970615,1928487,2015920
Missouri,2010,5996089,4246249,5153430
Montana,2010,990730,743611,925854
